Data,Horário,Evento,Link/Local
30/03,9h,Qualificação Iris,http://meet.google.com/scf-cjfw-fad
30/03,14h,Aula inaugural PPG CS,https://youtube.com/watch?v=yy5LBD6IG-0,
06/04,14h,Aula inaugural de Teoria Política,https://www.youtube.com/watch?v=aAaAIggB9cU,
13/04,9h,Defesa Tese Isabel Padoin,meet.gooogle.com/gjy-aruc-qum,
19/04,14h,CICLO DE PALESTRAS PPGCSociais/UFSM,sala 2251 / prédio 74A - Campus Camobi,
03/05,14h30min,Vivências e práticas na Sociologia Educativa: a experiência do Programa PROIPE/UFSM,"Sala 2243, 74A, CCSH ",
10/05,09h,Qualificação Laura Lucca,meet.gooogle.com/jwq-cask-ruz,
26/06,14h,Seminário TRAMAS,"Auditório do CCSH, prédio 74C",
01/06,18h,Palestra professora visitante,"Sala 2243, 74A, CCSH ",
02/06,18h,Palestra professora visitante,"Sala 2243, 74A, CCSH ",
30/06,9h,Cine Debate TRAMAS,sala 2243,
30/06,08:30,Defesa Dissertação Íngrid Visentini,https://meet.google.com/zcu-wfbv-peo,
05/07,14h,"Palestra ""Metodologias para pensar a cidade""",meet.google.com/wsx-fzxy-dav,
07/07,09h30min,Defesa Tese Marconi Severo,"Sala 3232 74B, ou http://meet.google.com/pns-syco-vvj",
10/07,14h,Defesa Morgana Machado,UFSM (local a definir),
14/07,08h30min,Defesa Juliana Franchi,http://meet.google.com/oxv-idsg-xnh,
14/07,14h30min,Defesa Mateus Azevedo,3232 - 74B ou https://meet.google.com/kxt-iemq-srz,
